Hand,Equity,Combos (total),Bet 7.8,Check,Bet 7.8 %,Check %,EV (total),Bet 7.8 (EV),Check (EV)
AsAd,98.592,1.000,0.346,0.654,34.589,65.411,15.360,15.359,15.360
AdAh,98.438,1.000,0.312,0.688,31.246,68.754,15.321,15.305,15.329
AsAh,98.438,1.000,0.312,0.688,31.171,68.829,15.321,15.304,15.329
AsKs,86.260,1.000,0.967,0.033,96.683,3.317,11.819,11.819,11.819
AdKd,86.258,1.000,0.963,0.037,96.321,3.679,11.820,11.820,11.822
AdKs,85.680,1.000,0.983,0.017,98.268,1.732,11.654,11.655,11.591
AsKd,85.680,1.000,0.982,0.018,98.210,1.790,11.653,11.654,11.599
AsKc,85.648,1.000,0.985,0.015,98.458,1.542,11.719,11.721,11.605
AdKc,85.648,1.000,0.985,0.015,98.471,1.529,11.720,11.722,11.603
AdKh,85.442,1.000,0.986,0.014,98.615,1.385,11.708,11.710,11.573
AsKh,85.442,1.000,0.986,0.014,98.601,1.399,11.708,11.710,11.576
AhKd,85.437,1.000,0.978,0.022,97.805,2.195,11.564,11.564,11.543
AhKs,85.437,1.000,0.979,0.021,97.903,2.097,11.564,11.565,11.538
AhKc,85.405,1.000,0.983,0.017,98.343,1.657,11.632,11.633,11.544
AhKh,85.199,1.000,0.985,0.015,98.474,1.526,11.619,11.621,11.519
AsQs,84.765,1.000,0.841,0.159,84.095,15.905,10.960,10.961,10.955
AdQd,84.765,1.000,0.837,0.163,83.665,16.335,10.960,10.961,10.955
AhQh,83.694,1.000,0.983,0.017,98.261,1.739,10.738,10.739,10.682
QsQd,77.679,1.000,0.913,0.087,91.267,8.733,8.316,8.316,8.315
QdQh,77.452,1.000,0.863,0.137,86.332,13.668,8.215,8.214,8.219
QsQh,77.452,1.000,0.862,0.138,86.239,13.761,8.215,8.214,8.220
KsKd,76.263,1.000,0.637,0.363,63.687,36.313,7.674,7.656,7.704
KsKc,76.228,1.000,0.429,0.571,42.928,57.072,7.607,7.556,7.645
KdKc,76.228,1.000,0.429,0.571,42.897,57.103,7.607,7.556,7.645
QsQc,76.065,1.000,0.717,0.283,71.651,28.349,7.855,7.844,7.883
QdQc,76.065,1.000,0.717,0.283,71.741,28.259,7.854,7.844,7.881
KdKh,76.026,1.000,0.544,0.456,54.406,45.594,7.599,7.570,7.634
KsKh,76.026,1.000,0.544,0.456,54.443,45.557,7.599,7.570,7.635
KcKh,75.992,1.000,0.306,0.694,30.627,69.373,7.542,7.469,7.575
QcQh,75.843,1.000,0.674,0.326,67.391,32.609,7.771,7.756,7.801
JsJd,73.154,1.000,0.723,0.277,72.343,27.657,7.616,7.610,7.633
JdJh,72.899,1.000,0.878,0.122,87.758,12.242,7.587,7.586,7.594
JsJh,72.899,1.000,0.882,0.118,88.187,11.813,7.587,7.587,7.593
JdJc,71.454,1.000,0.699,0.301,69.855,30.145,7.245,7.229,7.285
JsJc,71.454,1.000,0.700,0.300,69.997,30.003,7.245,7.228,7.284
JcJh,71.205,1.000,0.724,0.276,72.445,27.555,7.207,7.197,7.233
TsTd,58.568,1.000,0.892,0.108,89.222,10.778,7.342,7.341,7.355
TsTc,58.533,1.000,0.935,0.065,93.467,6.533,7.333,7.332,7.348
TdTc,58.533,1.000,0.936,0.064,93.591,6.409,7.333,7.332,7.348
TsTh,58.496,1.000,0.977,0.023,97.664,2.336,7.332,7.332,7.342
TdTh,58.496,1.000,0.977,0.023,97.726,2.274,7.332,7.332,7.342
TcTh,58.461,1.000,0.976,0.024,97.572,2.428,7.324,7.324,7.334
