Hand,Weight,Combos,Equity,EV,EQR,Bet 8 %,Bet 8 EV,Check %,Check EV
AsAh,1,47,0.984376,15.2098,1.2876,0.229991,15.2181,0.770009,15.2073
AsAd,1,47,0.985923,15.2593,1.28976,0.221124,15.2587,0.778876,15.2594
AhAd,1,47,0.984376,15.2083,1.28748,0.232804,15.2179,0.767196,15.2054
AsKs,1,47,0.862605,11.7103,1.13129,0.954725,11.7143,0.045275,11.626
AhKh,1,47,0.851988,11.502,1.12502,0.983257,11.5058,0.016743,11.2792
AdKd,1,47,0.862583,11.7095,1.13124,0.951545,11.7136,0.048455,11.629
AsQs,1,47,0.847647,10.8583,1.0675,0.892693,10.8613,0.107307,10.834
AhQh,1,47,0.836944,10.6186,1.05728,0.946688,10.6242,0.053312,10.5207
AdQd,1,47,0.847647,10.858,1.06746,0.889269,10.8607,0.110731,10.8362
AsKh,1,47,0.854416,11.5798,1.12941,0.982198,11.5838,0.017802,11.3594
AsKd,1,47,0.856802,11.541,1.12249,0.969445,11.5454,0.030555,11.4023
AsKc,1,47,0.85648,11.5723,1.12596,0.975046,11.5768,0.024954,11.3962
AhKs,1,47,0.854374,11.4641,1.11818,0.971732,11.4684,0.028268,11.3182
AhKd,1,47,0.854374,11.4634,1.11811,0.970488,11.4676,0.029512,11.324
AhKc,1,47,0.854051,11.4949,1.12161,0.975856,11.4993,0.024144,11.3182
AdKs,1,47,0.856802,11.5416,1.12254,0.970865,11.5459,0.029135,11.3954
AdKh,1,47,0.854416,11.5797,1.12939,0.982165,11.5837,0.017835,11.3586
AdKc,1,47,0.85648,11.5722,1.12594,0.97496,11.5767,0.02504,11.3957
KsKh,1,47,0.760262,7.65651,0.83924,0.516711,7.63152,0.483289,7.68324
KsKd,1,47,0.762626,7.71955,0.843527,0.684349,7.70552,0.315651,7.74997
KhKd,1,47,0.760262,7.65673,0.839264,0.515301,7.63204,0.484699,7.68297
KsKc,1,47,0.762282,7.67675,0.839228,0.417046,7.6367,0.582954,7.70539
KhKc,1,47,0.759918,7.62112,0.835739,0.18443,7.56055,0.81557,7.63482
KdKc,1,47,0.762282,7.67703,0.83926,0.41573,7.63735,0.58427,7.70527
QsQh,1,45,0.774523,8.29927,0.892945,0.934502,8.29918,0.065498,8.30056
QsQd,1,45,0.77679,8.35922,0.89677,0.894732,8.35908,0.105268,8.36042
QhQd,1,45,0.774523,8.29964,0.892984,0.937601,8.29961,0.062399,8.30002
QsQc,1,46,0.76065,7.9197,0.867647,0.683586,7.90518,0.316414,7.95108
QhQc,1,46,0.758432,7.84767,0.862269,0.606812,7.83064,0.393188,7.87395
QdQc,1,46,0.76065,7.91928,0.8676,0.682087,7.90569,0.317913,7.94845
JsJh,1,40,0.72899,7.61247,0.870207,0.873991,7.6093,0.126009,7.63448
JsJd,1,40,0.73154,7.65617,0.872151,0.779426,7.65075,0.220574,7.67531
JhJd,1,40,0.72899,7.6127,0.870233,0.881632,7.60956,0.118368,7.63603
JsJc,1,41,0.714536,7.2957,0.850867,0.637129,7.2772,0.362871,7.32818
JhJc,1,41,0.712047,7.24472,0.847875,0.711871,7.23425,0.288129,7.27061
JdJc,1,41,0.714536,7.29586,0.850886,0.634943,7.27769,0.365057,7.32746
TsTh,1,46,0.584958,7.38686,1.05233,0.941418,7.3896,0.058582,7.34285
TsTd,1,46,0.585683,7.39888,1.05274,0.932626,7.40156,0.067374,7.36179
ThTd,1,46,0.584958,7.38695,1.05235,0.942077,7.38969,0.057923,7.34228
TsTc,1,46,0.585332,7.38714,1.0517,0.93333,7.38951,0.06667,7.35398
ThTc,1,46,0.584607,7.37501,1.05128,0.939443,7.37763,0.060557,7.3344
TdTc,1,46,0.585332,7.38722,1.05171,0.933957,7.38961,0.066043,7.35339
